Timestamp,O3,PM2.5,NO2,SO2,Pressure,RH,Temperature,Wind Speed,O3BL,PMBL,NO2BL,SO2BL,PBL,rhbl,TBL,WSBL,ln(O3)-O3BL,ln(PM)-PMBL,ln(NO2)-NO2BL,ln(SO2)-SO2BL,ln(P)-PBL,ln(rh)-rhbl,ln(T)-TBL,ln(WS)-WSBL
2003/01/01,13.9455916666,0,34.663125,7.23600416666,102398.75,76.2158083333,15.8291666666,2.17083333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003/01/02,18.2185333333,0,45.5230458333,8.460575,102444.166666,77.9744791666,16.5624999999,2.72708333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003/01/03,10.7568041666,0,43.4618791666,8.34924583333,102502.083333,65.0991166666,16.3625,2.175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003/01/04,12.2767937499,0,49.2242916666,8.23791666666,102595.416666,70.0078166666,15.5125000000,1.87083333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003/01/05,21.7474583333,0,39.2508875,9.36704999999,102750.0,63.8024541666,15.1541666666,2.53333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003/01/06,14.2432000000,0,37.3005291666,8.93767916666,102370.0,77.0917875,11.4250000000,2.92916666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003/01/07,9.94897083333,0,44.3040833333,8.06299166666,102400.0,72.874125,12.2875000000,2.81250000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003/01/08,10.9481333333,0,40.6693291666,7.792625,102473.75,73.1500958333,13.7708333333,2.55833333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003/01/09,7.07907083333,0,74.0469875,24.1889291666,102235.833333,75.1824041666,16.5833333333,1.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003/01/10,11.5221,0,54.4769500000,12.8101145833,102169.583333,62.0871958333,16.5208333333,1.72083333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003/01/11,14.1687916666,0,61.2367041666,12.0387999999,102352.5,60.5951125000,15.8375000000,1.80000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003/01/12,19.1964333333,0,59.8847541666,10.702925,102325.0,63.5595125000,18.1375019709,1.20416666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003/01/13,13.7755,0,82.3803958333,11.9274791666,102115.416666,77.8432583333,19.2124980295,0.72083333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003/01/14,23.3418333333,0,75.5983958333,12.0706208333,102234.583333,62.0867208333,17.8000000000,1.29583333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003/01/15,27.5961859375,0,53.3438609374,10.0190822916,102479.166666,62.4337666666,16.5963541666,2.65416666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003/01/16,19.451525,0,58.1560166666,9.28752916666,102437.5,75.2245541666,16.3208333333,1.52916666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003/01/17,18.9838458333,0,66.001775,10.2258333333,102350.0,72.8419791666,18.3416666666,1.22083333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003/01/18,18.8881833333,0,54.1666625,8.41286250000,102351.25,69.5373291666,19.5000000000,1.1625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003/01/19,9.33247083333,0,88.9405833333,16.8893250000,102052.916666,78.1358125,20.4208333333,0.50833333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003/01/20,21.1097,0,63.1205666666,10.4961833333,101953.333333,77.8861458333,18.6208333333,1.2125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003/01/21,28.0187041666,0,52.9698458333,10.035,101817.291666,78.0315791666,16.6624999999,1.92916666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003/01/22,11.6921708333,0,83.5771291666,21.1673083333,101451.145833,79.1697916666,18.9708333333,1.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003/01/23,13.6054458333,0,66.7553375000,16.4440333333,101629.583333,67.1941375,18.525,1.65833333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003/01/24,27.2321270833,0,42.2761520833,7.58588750000,101724.583333,78.8840458333,16.0249999999,3.36666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003/01/25,17.71896875,0,45.7003499999,7.23599583333,101598.75,87.9060999999,17.2249999999,2.1375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003/01/26,10.5654833333,0,45.8111791666,7.85625416666,101475.0,90.5743791666,20.4916666666,0.75000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003/01/27,13.2015374999,0,37.8989291666,8.82632916666,102049.166666,65.5199291666,15.5375,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003/01/28,14.8809541666,0,49.6453916666,9.03309166666,102512.5,56.1826833333,14.6500101725,2.05416666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003/01/29,20.2314572916,0,51.0167460937,8.71502500000,102497.5,68.3300125,16.6708231620,2.15416666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003/01/30,26.5837604166,0,38.9357518229,7.44276250000,102372.5,71.0191333333,15.8791666666,3.12083333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003/01/31,21.9600375,0,36.4804874999,6.72711250000,102127.916666,79.4646375000,18.4458333333,1.95416666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003/02/01,7.58928124999,0,40.4033666666,7.41095833333,102090.0,80.1469125,20.1208333333,1.68333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003/02/02,11.1819791666,0,23.5372291666,6.37725416666,102441.666666,74.0013500000,15.3833333333,2.19583333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003/02/03,13.7967625000,0,25.5042083333,6.91795000000,102489.166666,78.9848541666,14.7458333333,1.53749999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003/02/04,14.7108750000,0,26.2854583333,6.58397916666,102494.583333,61.2489375000,15.2166666666,2.80000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003/02/05,20.0042583333,0,36.4278520833,8.58778750000,102656.25,59.7665916666,14.5708333333,2.04166666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003/02/06,23.7776395833,0,50.0942010416,9.42271875000,102550.0,72.941425,14.7395833333,1.70416666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003/02/07,20.0786520833,0,49.3544937499,7.52424270833,101934.583333,73.3535708333,16.1145833333,2.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003/02/08,7.41919375000,0,59.5523125000,15.1558625,101533.75,90.2926833333,18.4041666666,1.01666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003/02/09,13.7329916666,0,35.3945,6.12279583333,101635.833333,93.8821375000,18.6666666666,1.28749999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003/02/10,11.5646208333,0,45.4787166666,7.47456666666,101749.166666,89.1167791666,20.5333333333,1.18750000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003/02/11,12.712575,0,62.2340583333,22.1214999999,101823.333333,87.6649208333,20.5083333333,1.22499999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003/02/12,15.3273791666,0,29.4769541666,6.53627916666,102191.666666,85.623125,15.9708333333,1.59583333333,2.63071597998,0,3.74295854820,1.79422667585,11.5320912573,4.38813621844,2.89597936350,0.44892052556,0.09892473720,0,-0.3593498048,0.08314139295,0.00251415664,0.06181918009,-0.1252152214,0.01847554027
2003/02/13,8.75850833333,0,34.3306666666,7.74494166666,102250.416666,80.5630875,15.275,1.53333333333,2.62764786045,0,3.73783396962,1.76542630448,11.5319920986,4.39191675126,2.89918423267,0.44509320307,-0.4576222515,0,-0.2017949429,0.28161363761,0.00318805022,-0.0028761781,-0.1729667276,-0.0176491882
2003/02/14,15.3273791666,0,39.1428375,5.67153697916,102025.416666,84.6417666666,17.0750000000,1.89166666666,2.62483039285,0,3.73297927899,1.73632169857,11.5318939096,4.39556481881,2.90230294889,0.44126854334,0.10481032432,0,-0.0657618234,-0.0008615454,0.00108333455,0.04286302179,-0.0646875434,0.19618973134
2003/02/15,10.8205708333,0,40.9796125,2.21056666666,101720.0,91.4293833333,19.2958333333,1.22916666666,2.62231031161,0,3.72840291010,1.70702558811,11.5317971605,4.39906106794,2.90531440118,0.43751111197,-0.2408612823,0,-0.0153282231,-0.9137766952,-0.0018179410,0.11650583951,0.05457478195,-0.2311746789
2003/02/16,2.76358333333,0,49.1356333333,10.4802875000,101594.583333,92.3515041666,22.4958333333,0.94583333333,2.62017412224,0,3.72409006740,1.67760400351,11.5317023726,4.40239818646,2.90820324338,0.43386492307,-1.6036459754,0,0.17049443398,0.67189210820,-0.0029568735,0.12320380772,0.20512686349,-0.4895538289
2003/02/17,9.28996250000,0,37.4778416666,9.78055833333,101919.166666,92.9231458333,18.0416666666,1.65833333333,2.61834444830,0,3.72004781961,1.64816473650,11.5316099970,4.40557346491,2.91097832016,0.43034118293,-0.3894099320,0,-0.0962979501,0.63223183521,0.00032529740,0.12619929769,-0.0182944225,0.07547189900
2003/02/18,14.9234625,0,41.0017791666,2.73537083333,101857.916666,84.3748833333,19.7708333333,1.425,2.61678374927,0,3.71617937701,1.61880312771,11.5315210180,4.40857130309,2.91361547290,0.42699875032,0.08615088962,0,-0.0025639169,-0.6125361129,-0.0001868707,0.02669846337,0.07059231479,-0.0728269366
2003/02/19,9.94896666666,0,48.0496374999,5.16857916666,101764.583333,89.8060833333,20.7541666666,1.14166666666,2.61539195092,0,3.71245911167,1.58971362360,11.5314364250,4.41138395172,2.91610217193,0.42374537260,-0.3179232577,0,0.15977547948,0.05288420444,-0.0010190068,0.08626876441,0.11664485779,-0.2912561895
2003/02/20,30.6122374999,0,37.3670249999,3.89629583333,101991.666666,78.2664875,17.4749999999,2.44166666666,2.61410678155,0,3.70885468972,1.56107409003,11.5313573645,4.41396373549,2.91845336488,0.42055887044,0.80729306575,0,-0.0880660587,-0.2010477745,0.00128902506,-0.0538442253,-0.0576820767,0.47212199578
2003/02/21,27.5829125000,0,46.9193333333,3.21246458333,102010.833333,82.4463916666,17.8833333333,1.91250000000,2.61308825891,0,3.70536044307,1.53285943586,11.5312849035,4.41626679993,2.92067321301,0.41744138898,0.70410820975,0,0.14306937202,-0.3658210103,0.00154939224,-0.0041185157,-0.0368040326,0.23096989773
2003/02/22,15.0297687499,0,41.2898916666,3.45102083333,101695.833333,87.7448166666,21.4583333333,1.30000000000,2.61247893071,0,3.70199566263,1.50514691271,11.5312194622,4.41830673090,2.92278024227,0.41440456525,0.09755388702,0,0.01862205354,-0.2664768317,-0.0014778512,0.05612606037,0.14333282803,-0.1520403007
2003/02/23,3.7627375,0,53.0806791666,19.1793833333,101490.0,88.5151375,22.2875000000,0.93749999999,2.61238155396,0,3.69876477452,1.47792213575,11.5311603647,4.42010681786,2.92479131287,0.41151161152,-1.2872348029,0,0.27304823000,1.47591378163,-0.0034448143,0.06306676472,0.17923467031,-0.4760501326
2003/02/24,11.2244791666,0,47.9388291666,9.11259583333,101526.666666,89.2564916666,21.3249999999,1.32083333333,2.61266245677,0,3.69571049730,1.45124552040,11.5311061917,4.42172052246,2.92674138130,0.40870236471,-0.1945654236,0,0.17421530851,0.75841209356,-0.0030294229,0.06979363131,0.13313871207,-0.1304395141
2003/02/25,25.2338583333,0,40.9131125,2.00382500000,101775.0,85.9772916666,18.7625,1.64999999999,2.61327874745,0,3.69279771808,1.42517862778,11.5310555754,4.42318609506,2.92866822332,0.40595560145,0.61490792991,0,0.01865289260,-0.7301207737,-0.0005358020,0.03089711593,0.00319197363,0.09481968645
2003/02/26,20.3869,0,45.0354500000,2.54451666666,101763.75,81.0756124999,21.4541666666,1.35833333333,2.61412362732,0,3.69001971093,1.39974331480,11.5310074578,4.42455916289,2.93060028256,0.40322441777,0.40076891039,0,0.11743024648,-0.4658025977,-0.0005982285,-0.0291769559,0.13531859413,-0.0969659597
2003/02/27,14.8809541666,0,44.6143541666,2.65585416666,101722.916666,81.9741125,23.2041666666,1.30416666666,2.61514348693,0,3.68739166510,1.37512242388,11.5309609343,4.42585996881,2.93255342004,0.40051817269,0.08493866451,0,0.11066398443,-0.3983561009,-0.0009530417,-0.0194564726,0.21177844019,-0.1349539055
2003/02/28,22.0450625,0,37.7216291666,2.08333750000,101660.0,86.9765500000,20.2583333333,1.675,2.61625236998,0,3.68483294453,1.35134461414,11.5309153869,4.42710957955,2.93451393603,0.39783112577,0.47683628393,0,-0.0545992966,-0.6173734390,-0.0015261959,0.03852896254,0.07405229549,0.11798203950
2003/03/01,11.8090874999,0,37.5221541666,2.46500416666,101356.666666,89.1921833333,22.5499999999,1.14583333333,2.61724522698,0,3.68230215905,1.32852258694,11.5308703319,4.42832353577,2.93647992622,0.39512502368,-0.1483758648,0,-0.0573706227,-0.4263290891,-0.0044694035,0.06246986917,0.17925513972,-0.2589928493
2003/03/02,13.8605351791,0,35.6383240236,2.13104583333,101277.5,91.8383208333,21.3291666666,1.3,2.61805342725,0,3.67974167957,1.30668954804,11.5308256096,4.42950871756,2.93844927771,0.39243542251,0.01099217896,0,-0.1063201032,-0.5500766872,-0.0052060565,0.09052093123,0.12162618540,-0.1300711580
2003/03/03,10.5654731510,0,42.7304509941,2.09923749999,101052.083333,91.7019416666,22.1708333333,1.17083333333,2.61865059792,0,3.67715583134,1.28586600305,11.5307809174,4.43066915991,2.94041404892,0.38976565928,-0.2610591631,0,0.07775597276,-0.5442918195,-0.0073895780,0.08787439323,0.15836356232,-0.2320499132
2003/03/04,14.4796822916,0,28.1236148437,1.19473802083,101001.666666,95.7885041666,19.5416666666,2.33333333333,2.61889417429,0,3.67457070172,1.26619885657,11.5307358729,4.43181387288,2.94237203307,0.38710241372,0.05385227123,0,-0.3379610924,-1.0882719246,-0.0078435756,0.13032880662,0.03017690501,0.46019544666
2003/03/05,13.1164999999,0,30.5851125000,1.12912916666,101018.75,96.9547583333,17.8583333333,2.45833333333,2.61880139774,0,3.67195991620,1.24783090213,11.5306903940,4.43294217189,2.94431306318,0.38451148896,-0.0449304181,0,-0.2514465452,-1.1263842154,-0.0076289719,0.14130228887,-0.0618428104,0.51497212459
