"Nitrogen Dioxide (NO2), lat=22.1600, lon=113.5651 [MACG]"
"Station: MACG"
"Time Period (UTC+8): 20030101-20091231"
"Time","Height","ppb","Source","Status","Details"
2003/01/01 00:00:00,110.0000,44.9011,"AQ_MASMG",0,0
2003/01/01 01:00:00,110.0000,42.6380,"AQ_MASMG",0,0
2003/01/01 02:00:00,110.0000,40.4300,"AQ_MASMG",0,0
2003/01/01 03:00:00,110.0000,38.7830,"AQ_MASMG",0,0
2003/01/01 04:00:00,110.0000,36.2300,"AQ_MASMG",0,0
2003/01/01 05:00:00,110.0000,32.1020,"AQ_MASMG",0,0
2003/01/01 06:00:00,110.0000,28.6780,"AQ_MASMG",0,0
2003/01/01 07:00:00,110.0000,25.1290,"AQ_MASMG",0,0
2003/01/01 08:00:00,110.0000,22.0840,"AQ_MASMG",0,0
2003/01/01 09:00:00,110.0000,22.6890,"AQ_MASMG",0,0
2003/01/01 10:00:00,110.0000,19.8320,"AQ_MASMG",0,0
2003/01/01 11:00:00,110.0000,19.6390,"AQ_MASMG",0,0
2003/01/01 12:00:00,110.0000,21.3880,"AQ_MASMG",0,0
2003/01/01 13:00:00,110.0000,23.7500,"AQ_MASMG",0,0
2003/01/01 14:00:00,110.0000,27.5680,"AQ_MASMG",0,0
2003/01/01 15:00:00,110.0000,31.2290,"AQ_MASMG",0,0
2003/01/01 16:00:00,110.0000,34.6660,"AQ_MASMG",0,0
2003/01/01 17:00:00,110.0000,35.3410,"AQ_MASMG",0,0
2003/01/01 18:00:00,110.0000,39.8270,"AQ_MASMG",0,0
2003/01/01 19:00:00,110.0000,43.9540,"AQ_MASMG",0,0
2003/01/01 20:00:00,110.0000,45.0000,"AQ_MASMG",0,0
2003/01/01 21:00:00,110.0000,43.0190,"AQ_MASMG",0,0
2003/01/01 22:00:00,110.0000,41.6590,"AQ_MASMG",0,0
2003/01/01 23:00:00,110.0000,41.3350,"AQ_MASMG",0,0
